t,cum_regret_linucb,cum_regret_alg1_oracle_bank,cum_regret_alg1_random_bank
387,15.073703470425086,75.37862478267331,66.84618817947484
388,15.074897047753337,75.80733419862432,67.43219527898613
389,15.087992999603676,76.25958882291087,68.00497357241031
390,15.087992999603676,76.49533723778015,68.55701689586151
391,15.122624979083183,76.53194024998753,69.04768899536433
392,15.162965174759538,76.80187124707332,69.7405332535075
393,15.234818957687928,77.00249618157098,70.4974456086992
394,15.234818957687928,77.1783848463806,71.13272933619787
395,15.234818957687928,77.31313130343139,71.49320938115186
396,15.235065380537367,77.31313130343139,71.49320938115186
397,15.235065380537367,77.35934486795314,71.59890077339004
398,15.26839510094419,77.4144799335431,71.87459588629866
399,15.29076502724123,77.4194249447965,72.17486045627017
400,15.305875802316635,77.42520980049014,72.78669387190078
401,15.305875802316635,77.57145399908346,73.2034618024984
402,15.342540351907683,77.96733437771732,73.64101417708036
403,15.342540351907683,78.09319116651115,73.81156054833224
404,15.342540351907683,78.20515686277365,74.1352061611237
405,15.342540351907683,78.29142050433356,74.62700480294347
406,15.342540351907683,78.36528555565474,74.62700480294347
407,15.342540351907683,78.46823120664276,74.6661818740967
408,15.342540351907683,78.54854696337831,74.6661818740967
409,15.440947855605177,78.63927577424863,74.69028720456006
410,15.457324377007039,78.70445553703803,74.76060129020753
411,15.517319618212062,78.77642771986908,74.96351029868845
412,15.51791626903395,78.97570285451806,75.0953426141195
413,15.51791626903395,79.25520493780563,75.28052974895304
414,15.51791626903395,79.47450386692361,75.73360955969021
415,15.612190747929983,79.57593015355887,76.04341080130295
416,15.647502402785683,79.7430639144117,76.31538626916695
417,15.648905338930795,80.03737896469202,76.71030929373012
418,15.649957808211923,80.0872789380266,77.36531222714872
419,15.738149822585836,80.18702307428809,77.7245496882465
420,15.752330711961969,80.25469938878858,78.28418436762075
421,15.802088860938946,80.39159946711385,78.47501583164387
422,15.802088860938946,80.5613077499599,78.65096439951517
423,15.802088860938946,80.66992170635791,79.00050514422729
424,15.802088860938946,80.739179922439,79.49783419155199
425,15.802088860938946,80.81490910348153,79.49783419155199
426,15.809245266736692,80.86572455266578,79.53442119544685
427,15.809245266736692,80.93676263208552,79.53442119544685
428,15.86101053153107,81.00955424426374,79.54533688411664
429,15.893431076997112,81.06232442715131,79.60617226574338
430,15.952906437852947,81.19511016197697,79.7687588478779
431,15.955054362522045,81.29093377777507,80.12235913859087
432,16.008793143831298,81.5263142607429,80.48001200480051
433,16.008793143831298,81.84100461369292,80.9365397062591
434,16.008793143831298,81.97393527668345,81.28307685653887
435,16.01981699494026,82.08420286116092,81.53515408321658
436,16.01981699494026,82.29933008535453,81.85421622553216
437,16.03049020075394,82.29933008535453,82.53049965509412
438,16.1270023508622,82.39584223546278,82.95197289815899
439,16.158762605661575,82.4438139120327,83.38025070950789
440,16.158762605661575,82.49278714131398,83.65875333352221
441,16.16897947462613,82.70059702665016,83.7960605973609
442,16.16897947462613,82.80690911643501,84.00888715028667
443,16.16897947462613,82.86346872759903,84.48432233496142
444,16.16897947462613,82.947913006659,84.48432233496142
445,16.16897947462613,83.03530877534016,84.5226999308258
446,16.16897947462613,83.12985772496057,84.5226999308258
447,16.19986352696504,83.36277702485258,84.59834884671824
448,16.240339601628854,83.59450334676515,84.61933463744441
449,16.241891000102743,83.66467300944414,84.69049090524388
450,16.241891000102743,83.78991570992783,84.81246781263994
451,16.241891000102743,84.0004752267294,84.91890914863579
452,16.241891000102743,84.31843994686027,85.37080112448459
453,16.241891000102743,84.61678657855899,85.81037387547858
454,16.241891000102743,84.7549835001433,86.1054786769888
455,16.273203364906475,84.93188426345748,86.38939210428677
456,16.281223453023173,85.33768447034869,86.91323089011617
457,16.286708995334006,85.73791086775904,87.44248090123114
458,16.286708995334006,86.01045678476719,87.85936388389345
459,16.3040120427311,86.26003352247878,88.13182617996789
460,16.3040120427311,86.47566257058683,88.32434937849304
461,16.3040120427311,86.50250512491903,88.83110848472344
462,16.3040120427311,86.69859488875298,88.83110848472344
463,16.32321912478375,86.74410077479936,88.86947714998496
464,16.32321912478375,87.09415956688129,88.86947714998496
465,16.369162675182153,87.3425454364598,88.88401200668956
466,16.37445534764455,87.7966182959634,88.94557841462107
467,16.37445534764455,87.90134293004127,89.11929110892332
468,16.37679208319491,88.23101532378661,89.57623328168653
469,16.37679208319491,88.6192840707946,89.69325930256178
470,16.461167412740416,88.81908969408889,89.89134611910809
471,16.496805532181455,88.95020926643056,90.02510986744772
472,16.50215465361597,89.16453900792851,90.33535303650129
473,16.509209833007446,89.18005873963428,90.94191026455634
474,16.56380811853461,89.41531868943122,91.33736446142834
475,16.593491371546865,89.68992654738177,91.78653958018647
476,16.593491371546865,89.99671146525213,91.93487508907812
477,16.593491371546865,90.09635312319995,92.24252985881265
478,16.626148841421983,90.14468154420221,92.73216268902164
479,16.626148841421983,90.27991582663795,92.73216268902164
480,16.626148841421983,90.34329711965755,92.84189347633469
481,16.626832987581537,90.36933186028723,92.87209545702729
482,16.626832987581537,90.4828585333991,92.90406960237522
483,16.665576819377943,90.54700921336709,92.98560683041077
484,16.665576819377943,90.76572235839528,93.12149595735885
485,16.706000985192794,90.8318170947486,93.27243294308565
486,16.73559995220221,91.04349943100513,93.41577437432785
487,16.73559995220221,91.07990235224143,93.47608352197828
488,16.763020264939975,91.26748115335398,93.66580083011236
489,16.773226947468803,91.38725827914936,93.79429421230327
490,16.773226947468803,91.494496152771,93.90709896415412
491,16.773226947468803,91.81821688605935,93.9611035249606
492,16.773226947468803,91.89642138642006,94.07545978890317
493,16.773226947468803,92.19499946032795,94.1162185792462
494,16.773226947468803,92.52302331019676,94.13724268447734
495,16.84458747899143,92.74410239836646,94.34436781471913
496,16.84458747899143,92.83278527398404,94.52774296202888
497,16.855464895538727,92.92758272437264,94.60496957038094
498,16.855464895538727,92.99906814751793,94.71492231724929
499,16.855464895538727,93.06535698267932,94.80564984054202
500,16.855464895538727,93.2546769900307,94.80564984054202
501,16.88267340970106,93.35300575115788,94.80874626084436
502,16.889381304798658,93.39982469666569,94.86355783754857
503,16.889381304798658,93.49363878576074,95.01336222834694
504,16.889381304798658,93.74430475902959,95.21879782006057
505,16.889381304798658,93.78810443813872,95.29589587717545
506,16.889381304798658,94.04590982432114,95.58537465175368
507,16.92140555286987,94.13792337757535,95.66262006827519
508,16.938971108204615,94.20675098838495,95.7154950374256
509,16.94268732014794,94.37395946206306,95.90007285316781
510,16.955109836511706,94.52442515500553,96.05857020452538
511,16.955109836511706,94.63009947626884,96.22471780765476
512,16.955109836511706,94.89325998943265,96.33914304248952
513,16.955109836511706,94.94128791711194,96.40395017838519
514,16.955109836511706,95.21582765170673,96.40395017838519
515,16.955109836511706,95.47068211810195,96.40395017838519
516,16.955109836511706,95.67684633580197,96.65242657186545
517,16.955109836511706,96.04683204647353,96.73540175950468
518,16.96690577291473,96.09361928260952,96.7471976959077
519,16.97146334716029,96.3537771861018,96.89710318040908
520,16.97146334716029,96.7519643861432,97.00537671860549
521,16.990951674196047,97.0070847570464,97.02486504564125
522,16.990951674196047,97.40058301270277,97.08605041334668
523,16.990951674196047,97.53400075829668,97.26879303625438
524,17.01562807545067,97.77472303130614,97.5008695428338
525,17.01562807545067,97.86044127802859,97.6773287948028
526,17.01562807545067,98.01931383975247,97.80200439257682
527,17.023016826005236,98.07278367170701,98.05831977426837
528,17.045900274174386,98.17679274890459,98.16176175872558
529,17.05223407876884,98.23853126405842,98.32627972646105
530,17.072986138753727,98.27556425039757,98.37212304326822
