t,cum_regret_linucb_baseline_mean,cum_regret_linucb_baseline_se,cum_regret_alg1_oracle_mean,cum_regret_alg1_oracle_se,cum_regret_fixed_theta_star,cum_regret_fixed_best_bank
186,17.291026136994525,0.0,37.11358083888343,0.0,0.4221800410480501,0.4221800410480501
187,17.29599363705262,0.0,37.11854833894153,0.0,0.42714754110614855,0.42714754110614855
188,17.29599363705262,0.0,37.17395474784382,0.0,0.42714754110614855,0.42714754110614855
189,17.366675584235075,0.0,37.5285093713073,0.0,0.42714754110614855,0.42714754110614855
190,17.39668021371213,0.0,37.93216886720535,0.0,0.42714754110614855,0.42714754110614855
191,17.459924806047393,0.0,38.06087886639971,0.0,0.42714754110614855,0.42714754110614855
192,17.494466477444412,0.0,38.094389870985694,0.0,0.42761801636481395,0.42761801636481395
193,17.778302423494747,0.0,38.11606225756956,0.0,0.43660975383926665,0.43660975383926665
194,17.816348273905728,0.0,38.15410810798054,0.0,0.4580575065722919,0.4580575065722919
195,17.89138508931506,0.0,38.229144923389875,0.0,0.4580575065722919,0.4580575065722919
196,17.947574648736055,0.0,38.400462851246,0.0,0.4580575065722919,0.4580575065722919
197,18.31393619377303,0.0,38.559980055731124,0.0,0.4580575065722919,0.4580575065722919
198,18.317617721817594,0.0,38.698105433805736,0.0,0.4617390346168562,0.4617390346168562
199,18.317617721817594,0.0,38.823634603628456,0.0,0.4617390346168562,0.4617390346168562
200,18.624855360923387,0.0,38.93585036847083,0.0,0.4617390346168562,0.4617390346168562
201,18.696385402708415,0.0,39.162752791473324,0.0,0.4617390346168562,0.4617390346168562
202,18.730990190305988,0.0,39.4294438646454,0.0,0.4617390346168562,0.4617390346168562
203,18.74738312682713,0.0,39.972887557186695,0.0,0.47413550761287054,0.47413550761287054
204,18.748892851343058,0.0,40.30165188506464,0.0,0.4756452321287979,0.4756452321287979
205,18.769611372358156,0.0,40.81689713784907,0.0,0.4756452321287979,0.4756452321287979
206,18.769611372358156,0.0,40.9597117042499,0.0,0.4756452321287979,0.4756452321287979
207,18.937585081877277,0.0,41.17922583146727,0.0,0.4756452321287979,0.4756452321287979
208,18.96498524432792,0.0,41.20662599391791,0.0,0.4756452321287979,0.4756452321287979
209,19.008611077857434,0.0,41.25039500391923,0.0,0.4756452321287979,0.4756452321287979
210,19.014892329388626,0.0,41.29997397618404,0.0,0.48192648365999063,0.48192648365999063
211,19.014892329388626,0.0,41.32229788632639,0.0,0.48192648365999063,0.48192648365999063
212,19.114712510407262,0.0,41.34287112825864,0.0,0.48882243754678284,0.48882243754678284
213,19.13961966447126,0.0,41.36777828232264,0.0,0.5054740951649834,0.5054740951649834
214,19.19658316559556,0.0,41.495814226888626,0.0,0.5054740951649834,0.5054740951649834
215,19.27697854162535,0.0,41.600786864951466,0.0,0.5054740951649834,0.5054740951649834
216,19.290604135107785,0.0,41.728789817853034,0.0,0.5164457018780311,0.5164457018780311
217,19.293408192174205,0.0,41.8281953506111,0.0,0.5164457018780311,0.5164457018780311
218,19.44907263034171,0.0,41.95718126557161,0.0,0.5164457018780311,0.5164457018780311
219,19.548985277248892,0.0,42.03284483093833,0.0,0.5164457018780311,0.5164457018780311
220,19.757390258004595,0.0,42.08716623223725,0.0,0.5164457018780311,0.5164457018780311
221,19.759377330864474,0.0,42.13986459792428,0.0,0.5213732889854822,0.5213732889854822
222,20.107462294159998,0.0,42.21019743441397,0.0,0.5320708118851091,0.5320708118851091
223,20.16427195421132,0.0,42.26351843263376,0.0,0.556581861575127,0.556581861575127
224,20.165952843173265,0.0,42.3204297259618,0.0,0.5582627505370719,0.5582627505370719
225,20.258273731653464,0.0,42.43380121142612,0.0,0.5582627505370719,0.5582627505370719
