t,cum_regret_linucb_baseline,cum_regret_alg1_oracle_mean,cum_regret_alg1_oracle_se
8141,195.03300137676297,353.00760596260807,16.914944555709283
8142,195.0505679986655,353.00760596260807,16.914944555709283
8143,195.05091586021254,353.00760596260807,16.914944555709283
8144,195.05320971376082,353.00760596260807,16.914944555709283
8145,195.06047584843404,353.00760596260807,16.914944555709283
8146,195.06047584843404,353.00760596260807,16.914944555709283
8147,195.07921601014797,353.00760596260807,16.914944555709283
8148,195.07921601014797,353.00760596260807,16.914944555709283
8149,195.09584595586733,353.00760596260807,16.914944555709283
8150,195.11141765879103,353.00760596260807,16.914944555709283
8151,195.11568104743887,353.00760596260807,16.914944555709283
8152,195.12584898625389,353.00760596260807,16.914944555709283
8153,195.1288739818599,353.00760596260807,16.914944555709283
8154,195.1288739818599,353.00760596260807,16.914944555709283
8155,195.1288739818599,353.00760596260807,16.914944555709283
8156,195.14597290860576,353.00760596260807,16.914944555709283
8157,195.1468643189325,353.00760596260807,16.914944555709283
8158,195.16643907506256,353.00760596260807,16.914944555709283
8159,195.16643907506256,353.00760596260807,16.914944555709283
8160,195.1824036720569,353.00760596260807,16.914944555709283
8161,195.1824036720569,353.00760596260807,16.914944555709283
8162,195.20849579829172,353.00760596260807,16.914944555709283
8163,195.20849579829172,353.00760596260807,16.914944555709283
8164,195.22158735105785,353.00760596260807,16.914944555709283
8165,195.22308723878075,353.00760596260807,16.914944555709283
8166,195.23303635057755,353.00760596260807,16.914944555709283
8167,195.23441911654618,353.00760596260807,16.914944555709283
8168,195.24484642145669,353.00760596260807,16.914944555709283
8169,195.24484642145669,353.00760596260807,16.914944555709283
8170,195.25595920306634,353.00760596260807,16.914944555709283
8171,195.25595920306634,353.00760596260807,16.914944555709283
8172,195.26120189479403,353.00760596260807,16.914944555709283
8173,195.26789269026037,353.00760596260807,16.914944555709283
8174,195.30105273276777,353.00760596260807,16.914944555709283
8175,195.30505916719275,353.00760596260807,16.914944555709283
8176,195.34137313038065,353.00760596260807,16.914944555709283
8177,195.34137313038065,353.00760596260807,16.914944555709283
8178,195.34137313038065,353.00760596260807,16.914944555709283
8179,195.37011560687424,353.00760596260807,16.914944555709283
8180,195.40793272712875,353.00760596260807,16.914944555709283
8181,195.4134805416727,353.00760596260807,16.914944555709283
8182,195.43460615513098,353.00760596260807,16.914944555709283
8183,195.44828061904136,353.00760596260807,16.914944555709283
8184,195.46059129804135,353.00760596260807,16.914944555709283
8185,195.47792132446776,353.00760596260807,16.914944555709283
8186,195.50036708581882,353.00760596260807,16.914944555709283
8187,195.50036708581882,353.00760596260807,16.914944555709283
8188,195.50036708581882,353.00760596260807,16.914944555709283
8189,195.50036708581882,353.00760596260807,16.914944555709283
8190,195.50036708581882,353.00760596260807,16.914944555709283
8191,195.50036708581882,353.00760596260807,16.914944555709283
8192,195.52357918003173,353.00760596260807,16.914944555709283
8193,195.5237583406623,353.00760596260807,16.914944555709283
8194,195.55468632104277,353.00760596260807,16.914944555709283
8195,195.55809176844735,353.00760596260807,16.914944555709283
8196,195.55809176844735,353.00760596260807,16.914944555709283
8197,195.55809176844735,353.00760596260807,16.914944555709283
8198,195.5784535118705,353.00760596260807,16.914944555709283
8199,195.5784535118705,353.00760596260807,16.914944555709283
8200,195.59163291591946,353.00760596260807,16.914944555709283
8201,195.59967718075188,353.00760596260807,16.914944555709283
8202,195.61182730753083,353.00760596260807,16.914944555709283
8203,195.61182730753083,353.00760596260807,16.914944555709283
8204,195.62469322580938,353.00760596260807,16.914944555709283
8205,195.63669805103984,353.00760596260807,16.914944555709283
8206,195.63669805103984,353.00760596260807,16.914944555709283
8207,195.63669805103984,353.00760596260807,16.914944555709283
8208,195.64724943470068,353.00760596260807,16.914944555709283
8209,195.65650378787302,353.00760596260807,16.914944555709283
8210,195.65650378787302,353.00760596260807,16.914944555709283
8211,195.6755085422535,353.00760596260807,16.914944555709283
8212,195.72407011663623,353.00760596260807,16.914944555709283
8213,195.7559638939904,353.00760596260807,16.914944555709283
8214,195.76094710841602,353.00760596260807,16.914944555709283
8215,195.76094710841602,353.00760596260807,16.914944555709283
8216,195.76094710841602,353.00760596260807,16.914944555709283
8217,195.76094710841602,353.00760596260807,16.914944555709283
8218,195.80026077729207,353.00760596260807,16.914944555709283
8219,195.82591865571985,353.00760596260807,16.914944555709283
8220,195.83877996259667,353.00760596260807,16.914944555709283
8221,195.84895535398076,353.00760596260807,16.914944555709283
8222,195.87192581477305,353.00760596260807,16.914944555709283
8223,195.8875309088979,353.00760596260807,16.914944555709283
8224,195.8875309088979,353.00760596260807,16.914944555709283
8225,195.89789840542286,353.00760596260807,16.914944555709283
8226,195.89789840542286,353.00760596260807,16.914944555709283
8227,195.89789840542286,353.00760596260807,16.914944555709283
8228,195.90290454195866,353.00760596260807,16.914944555709283
8229,195.90290454195866,353.00760596260807,16.914944555709283
8230,195.92828175508006,353.00760596260807,16.914944555709283
8231,195.92828175508006,353.00760596260807,16.914944555709283
8232,195.92828175508006,353.00760596260807,16.914944555709283
8233,195.9531707474925,353.00760596260807,16.914944555709283
8234,195.9531707474925,353.00760596260807,16.914944555709283
8235,195.9531707474925,353.00760596260807,16.914944555709283
8236,195.96505998485378,353.00760596260807,16.914944555709283
8237,195.96505998485378,353.00760596260807,16.914944555709283
8238,196.00418134563074,353.00760596260807,16.914944555709283
8239,196.02434526423377,353.00760596260807,16.914944555709283
8240,196.0310029822537,353.00760596260807,16.914944555709283
8241,196.0450565619569,353.00760596260807,16.914944555709283
8242,196.0450565619569,353.00760596260807,16.914944555709283
8243,196.0450565619569,353.00760596260807,16.914944555709283
8244,196.0450565619569,353.00760596260807,16.914944555709283
8245,196.0450565619569,353.00760596260807,16.914944555709283
8246,196.0450565619569,353.00760596260807,16.914944555709283
8247,196.0450565619569,353.00760596260807,16.914944555709283
8248,196.05579785647723,353.00760596260807,16.914944555709283
8249,196.10713665403213,353.00760596260807,16.914944555709283
8250,196.13463520631703,353.00760596260807,16.914944555709283
8251,196.13463520631703,353.00760596260807,16.914944555709283
8252,196.13463520631703,353.00760596260807,16.914944555709283
8253,196.15308215935275,353.00760596260807,16.914944555709283
8254,196.15308215935275,353.00760596260807,16.914944555709283
8255,196.17209281021312,353.00760596260807,16.914944555709283
8256,196.187594151263,353.00760596260807,16.914944555709283
8257,196.2095686518143,353.00760596260807,16.914944555709283
8258,196.2095686518143,353.00760596260807,16.914944555709283
8259,196.2095686518143,353.00760596260807,16.914944555709283
8260,196.2095686518143,353.00760596260807,16.914944555709283
8261,196.21295636535015,353.00760596260807,16.914944555709283
8262,196.21295636535015,353.00760596260807,16.914944555709283
8263,196.21638195042738,353.00760596260807,16.914944555709283
8264,196.2313149714624,353.00760596260807,16.914944555709283
8265,196.2313149714624,353.00760596260807,16.914944555709283
8266,196.2321222589482,353.00760596260807,16.914944555709283
8267,196.2602826461957,353.00760596260807,16.914944555709283
8268,196.27297529982022,353.00760596260807,16.914944555709283
8269,196.27297529982022,353.00760596260807,16.914944555709283
8270,196.27297529982022,353.00760596260807,16.914944555709283
8271,196.27320694053813,353.00760596260807,16.914944555709283
8272,196.27836377767514,353.00760596260807,16.914944555709283
8273,196.27836377767514,353.00760596260807,16.914944555709283
8274,196.29096462963815,353.00760596260807,16.914944555709283
8275,196.30799456888647,353.00760596260807,16.914944555709283
8276,196.3192880106381,353.00760596260807,16.914944555709283
8277,196.3192880106381,353.00760596260807,16.914944555709283
8278,196.3488321100416,353.00760596260807,16.914944555709283
8279,196.3488321100416,353.00760596260807,16.914944555709283
8280,196.3488321100416,353.00760596260807,16.914944555709283
8281,196.3488321100416,353.00760596260807,16.914944555709283
8282,196.3488321100416,353.00760596260807,16.914944555709283
8283,196.3514617992117,353.00760596260807,16.914944555709283
8284,196.3514617992117,353.00760596260807,16.914944555709283
8285,196.353202930949,353.00760596260807,16.914944555709283
8286,196.3858762360619,353.00760596260807,16.914944555709283
8287,196.399506243943,353.00760596260807,16.914944555709283
8288,196.399506243943,353.00760596260807,16.914944555709283
8289,196.399506243943,353.00760596260807,16.914944555709283
8290,196.40622869457337,353.00760596260807,16.914944555709283
8291,196.40622869457337,353.00760596260807,16.914944555709283
8292,196.44116715079002,353.00760596260807,16.914944555709283
8293,196.46858059141263,353.00760596260807,16.914944555709283
8294,196.47986795232157,353.00760596260807,16.914944555709283
8295,196.47986795232157,353.00760596260807,16.914944555709283
8296,196.48670177858872,353.00760596260807,16.914944555709283
8297,196.5288136720304,353.00760596260807,16.914944555709283
8298,196.5288136720304,353.00760596260807,16.914944555709283
8299,196.5288136720304,353.00760596260807,16.914944555709283
8300,196.5288136720304,353.00760596260807,16.914944555709283
8301,196.5288136720304,353.00760596260807,16.914944555709283
8302,196.5288136720304,353.00760596260807,16.914944555709283
8303,196.5288136720304,353.00760596260807,16.914944555709283
8304,196.54155544087524,353.00760596260807,16.914944555709283
8305,196.54155544087524,353.00760596260807,16.914944555709283
8306,196.54303704192918,353.00760596260807,16.914944555709283
8307,196.5460089283827,353.00760596260807,16.914944555709283
8308,196.5460089283827,353.00760596260807,16.914944555709283
8309,196.5460089283827,353.00760596260807,16.914944555709283
8310,196.55378603362956,353.00760596260807,16.914944555709283
8311,196.55378603362956,353.00760596260807,16.914944555709283
8312,196.5780894486534,353.00760596260807,16.914944555709283
8313,196.60179987622024,353.00760596260807,16.914944555709283
8314,196.60873598060738,353.00760596260807,16.914944555709283
8315,196.60873598060738,353.00760596260807,16.914944555709283
8316,196.61588388607606,353.00760596260807,16.914944555709283
8317,196.61588388607606,353.00760596260807,16.914944555709283
8318,196.61588388607606,353.00760596260807,16.914944555709283
8319,196.61588388607606,353.00760596260807,16.914944555709283
8320,196.61588388607606,353.00760596260807,16.914944555709283
8321,196.61588388607606,353.00760596260807,16.914944555709283
8322,196.61588388607606,353.00760596260807,16.914944555709283
8323,196.61588388607606,353.00760596260807,16.914944555709283
8324,196.6195110242205,353.00760596260807,16.914944555709283
8325,196.62873789096943,353.00760596260807,16.914944555709283
8326,196.62873789096943,353.00760596260807,16.914944555709283
8327,196.62873789096943,353.00760596260807,16.914944555709283
8328,196.62873789096943,353.00760596260807,16.914944555709283
8329,196.62873789096943,353.00760596260807,16.914944555709283
8330,196.62873789096943,353.00760596260807,16.914944555709283
8331,196.64227674950675,353.00760596260807,16.914944555709283
8332,196.65489092593762,353.00760596260807,16.914944555709283
8333,196.6763325398037,353.00760596260807,16.914944555709283
8334,196.68536573656417,353.00760596260807,16.914944555709283
8335,196.6977425040764,353.00760596260807,16.914944555709283
8336,196.6977425040764,353.00760596260807,16.914944555709283
8337,196.6977425040764,353.00760596260807,16.914944555709283
8338,196.6977425040764,353.00760596260807,16.914944555709283
8339,196.6977425040764,353.00760596260807,16.914944555709283
8340,196.70523761608462,353.00760596260807,16.914944555709283
8341,196.70523761608462,353.00760596260807,16.914944555709283
8342,196.72680824406862,353.00760596260807,16.914944555709283
8343,196.73005803328792,353.00760596260807,16.914944555709283
8344,196.73433913626832,353.00760596260807,16.914944555709283
8345,196.73874735332095,353.00760596260807,16.914944555709283
8346,196.746950695346,353.00760596260807,16.914944555709283
8347,196.77427982619986,353.00760596260807,16.914944555709283
8348,196.77427982619986,353.00760596260807,16.914944555709283
8349,196.77427982619986,353.00760596260807,16.914944555709283
8350,196.77427982619986,353.00760596260807,16.914944555709283
8351,196.79647008919898,353.00760596260807,16.914944555709283
8352,196.80288274247238,353.00760596260807,16.914944555709283
8353,196.80288274247238,353.00760596260807,16.914944555709283
8354,196.81754859474484,353.00760596260807,16.914944555709283
8355,196.81754859474484,353.00760596260807,16.914944555709283
8356,196.81754859474484,353.00760596260807,16.914944555709283
8357,196.8193881816217,353.00760596260807,16.914944555709283
8358,196.82311483016724,353.00760596260807,16.914944555709283
8359,196.82311483016724,353.00760596260807,16.914944555709283
8360,196.83004878989797,353.00760596260807,16.914944555709283
8361,196.86413506068763,353.00760596260807,16.914944555709283
8362,196.86568342194727,353.00760596260807,16.914944555709283
8363,196.89651191983282,353.00760596260807,16.914944555709283
8364,196.89651191983282,353.00760596260807,16.914944555709283
8365,196.91656733672176,353.00760596260807,16.914944555709283
8366,196.93773383870052,353.00760596260807,16.914944555709283
8367,196.9409420103824,353.00760596260807,16.914944555709283
8368,196.9667617975907,353.00760596260807,16.914944555709283
8369,196.97651429604238,353.00760596260807,16.914944555709283
8370,196.98409039210486,353.00760596260807,16.914944555709283
8371,196.98851111009796,353.00760596260807,16.914944555709283
8372,196.98851111009796,353.00760596260807,16.914944555709283
8373,196.98851111009796,353.00760596260807,16.914944555709283
8374,196.98851111009796,353.00760596260807,16.914944555709283
8375,196.98851111009796,353.00760596260807,16.914944555709283
8376,197.01336052315386,353.00760596260807,16.914944555709283
8377,197.02961439866917,353.00760596260807,16.914944555709283
8378,197.05027276296013,353.00760596260807,16.914944555709283
8379,197.06273969763552,353.00760596260807,16.914944555709283
8380,197.0658787126136,353.00760596260807,16.914944555709283
8381,197.08300524650292,353.00760596260807,16.914944555709283
8382,197.10606575795157,353.00760596260807,16.914944555709283
8383,197.12128316981713,353.00760596260807,16.914944555709283
8384,197.13050146665987,353.00760596260807,16.914944555709283
8385,197.13258263216593,353.00760596260807,16.914944555709283
8386,197.13258263216593,353.00760596260807,16.914944555709283
8387,197.13258263216593,353.00760596260807,16.914944555709283
8388,197.13258263216593,353.00760596260807,16.914944555709283
8389,197.13348608861122,353.00760596260807,16.914944555709283
8390,197.14968846302529,353.00760596260807,16.914944555709283
8391,197.18404851981532,353.00760596260807,16.914944555709283
8392,197.20261694437843,353.00760596260807,16.914944555709283
8393,197.20885975520943,353.00760596260807,16.914944555709283
8394,197.20885975520943,353.00760596260807,16.914944555709283
8395,197.2098357741292,353.00760596260807,16.914944555709283
8396,197.2250303469833,353.00760596260807,16.914944555709283
8397,197.2327077960281,353.00760596260807,16.914944555709283
8398,197.23859086345738,353.00760596260807,16.914944555709283
8399,197.23859086345738,353.00760596260807,16.914944555709283
8400,197.23859086345738,353.00760596260807,16.914944555709283
8401,197.23859086345738,353.00760596260807,16.914944555709283
8402,197.23859086345738,353.00760596260807,16.914944555709283
8403,197.23859086345738,353.00760596260807,16.914944555709283
8404,197.23859086345738,353.00760596260807,16.914944555709283
8405,197.23859086345738,353.00760596260807,16.914944555709283
8406,197.26022837356905,353.00760596260807,16.914944555709283
8407,197.26022837356905,353.00760596260807,16.914944555709283
8408,197.2854311203763,353.00760596260807,16.914944555709283
8409,197.29347580061636,353.00760596260807,16.914944555709283
8410,197.30467215935985,353.00760596260807,16.914944555709283
8411,197.31552396817855,353.00760596260807,16.914944555709283
8412,197.32515482234135,353.00760596260807,16.914944555709283
8413,197.32515482234135,353.00760596260807,16.914944555709283
8414,197.3279786516455,353.00760596260807,16.914944555709283
